id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
337,48,Fulfilled,2014-01-31 21:37:22+00:00,2014-01-31 21:51:14+00:00,2014-02-07 21:51:14+00:00,2014-02-06 05:00:00+00:00,True,2,54
341,8,Incomplete,2014-02-04 03:44:45+00:00,None,None,None,True,0,
342,,Incomplete,2014-02-04 03:46:37+00:00,None,None,None,True,0,
345,55,Partially fulfilled,2014-02-04 20:25:53+00:00,2014-02-05 17:41:54+00:00,2014-02-12 17:41:54+00:00,2014-02-08 22:12:15+00:00,True,1,56
347,,Incomplete,2014-02-06 23:53:32+00:00,None,None,None,True,0,
348,,Incomplete,2014-02-06 23:54:54+00:00,None,None,None,True,0,
349,57,Incomplete,2014-02-06 23:55:09+00:00,None,None,None,True,0,
350,,Incomplete,2014-02-06 23:55:16+00:00,None,None,None,True,0,
351,,Incomplete,2014-02-06 23:55:33+00:00,None,None,None,True,0,
360,,Incomplete,2014-02-09 16:31:44+00:00,None,None,None,True,0,
361,10,Incomplete,2014-02-09 16:33:34+00:00,None,None,None,True,0,
362,58,Denied,2014-02-10 16:24:51+00:00,2014-02-10 16:31:14+00:00,2014-02-18 16:31:14+00:00,None,True,2,57
363,,Filed (Request sent),2014-02-10 17:41:56+00:00,None,None,None,True,0,
364,58,New (Unsent),2014-02-10 17:56:54+00:00,None,None,None,True,0,57
365,,Incomplete,2014-02-10 18:48:45+00:00,None,None,None,True,0,
366,1,New (Unsent),2014-02-10 18:54:37+00:00,None,None,None,True,0,"1,7"
367,10,Filed (Request sent),2014-02-10 20:20:52+00:00,None,None,None,True,0,
368,18,Filed (Request sent),2014-02-10 20:26:04+00:00,None,None,None,True,0,
369,17,Filed (Request sent),2014-02-10 20:32:15+00:00,None,None,None,True,0,
370,13,Filed (Request sent),2014-02-10 20:33:39+00:00,None,None,None,True,0,
371,8,Filed (Request sent),2014-02-10 20:35:45+00:00,None,None,None,True,0,
372,27,Filed (Request sent),2014-02-10 20:37:22+00:00,None,None,None,True,0,
375,5,Filed (Request sent),2014-02-10 20:39:23+00:00,None,None,None,True,0,
378,10,Incomplete,2014-02-11 00:37:19+00:00,None,None,None,True,0,
380,6,Fulfilled,2014-02-11 22:26:41+00:00,2014-02-12 19:46:14+00:00,2014-07-31 04:00:00+00:00,None,False,20,12
382,59,Deleted,2014-02-13 06:08:58+00:00,None,None,None,True,0,58
